Date,Open,High,Low,Close,Adj Close,Volume,Overbought
3/1/2021,123.75,127.93,122.790001,127.790001,127.034966,116307900,16
3/2/2021,128.410004,128.720001,125.010002,125.120003,124.380745,102260900,7
3/3/2021,124.809998,125.709999,121.839996,122.059998,121.338821,112966300,12
3/4/2021,121.75,123.599998,118.620003,120.129997,119.420227,178155000,50
3/5/2021,120.980003,121.940002,117.57,121.419998,120.702599,153766600,73
3/8/2021,120.93,121,116.209999,116.360001,115.672493,154376600,29
3/9/2021,119.029999,122.059998,118.790001,121.089996,120.37455,129525800,92
3/10/2021,121.690002,122.169998,119.449997,119.980003,119.271118,111943300,30
3/11/2021,122.540001,123.209999,121.260002,121.959999,121.23941,103026500,79
3/12/2021,120.400002,121.169998,119.160004,121.029999,120.314903,88105100,41
3/15/2021,121.410004,124,120.419998,123.989998,123.257416,92403800,76
3/16/2021,125.699997,127.220001,124.720001,125.57,124.828087,115227900,29
3/17/2021,124.050003,125.860001,122.339996,124.760002,124.022873,111932600,88
3/18/2021,122.879997,123.18,120.32,120.529999,119.817863,121229700,36
3/19/2021,119.900002,121.43,119.68,119.989998,119.281044,185549500,44
3/22/2021,120.330002,123.870003,120.260002,123.389999,122.660973,111912300,17
3/23/2021,123.330002,124.239998,122.139999,122.540001,121.815987,95467100,7
3/24/2021,122.82,122.900002,120.07,120.089996,119.380455,88530500,33
3/25/2021,119.540001,121.660004,119,120.589996,119.877502,98844700,32
3/26/2021,120.349998,121.480003,118.919998,121.209999,120.493843,94071200,67
3/29/2021,121.650002,122.580002,120.730003,121.389999,120.672783,80819200,6
3/30/2021,120.110001,120.400002,118.860001,119.900002,119.191582,85671900,88
3/31/2021,121.650002,123.519997,121.150002,122.150002,121.428284,118323800,42
4/1/2021,123.660004,124.18,122.489998,123,122.27327,75089100,66
4/5/2021,123.870003,126.160004,123.07,125.900002,125.156136,88651200,72
4/6/2021,126.5,127.129997,125.650002,126.209999,125.464294,80171300,81
4/7/2021,125.830002,127.919998,125.139999,127.900002,127.144318,83466700,62
4/8/2021,128.949997,130.389999,128.520004,130.360001,129.589783,88844600,59
4/9/2021,129.800003,133.039993,129.470001,133,132.214188,106686700,1
4/12/2021,132.520004,132.850006,130.630005,131.240005,130.464569,91420000,8
4/13/2021,132.440002,134.660004,131.929993,134.429993,133.635727,91266500,75
4/14/2021,134.940002,135,131.660004,132.029999,131.249924,87222800,8
4/15/2021,133.820007,135,133.639999,134.5,133.705307,89347100,73
4/16/2021,134.300003,134.669998,133.279999,134.160004,133.36734,84922400,64
4/19/2021,133.509995,135.470001,133.339996,134.839996,134.043304,94264200,48
4/20/2021,135.020004,135.529999,131.809998,133.110001,132.323547,94812300,92
4/21/2021,132.360001,133.75,131.300003,133.5,132.711227,68847100,84
4/22/2021,133.039993,134.149994,131.410004,131.940002,131.160461,84566500,94
4/23/2021,132.160004,135.119995,132.160004,134.320007,133.526398,78657500,75
4/26/2021,134.830002,135.059998,133.559998,134.720001,133.924042,66905100,40
4/27/2021,135.009995,135.410004,134.110001,134.389999,133.595963,66015800,40
4/28/2021,134.309998,135.020004,133.080002,133.580002,132.790756,107760100,25
4/29/2021,136.470001,137.070007,132.449997,133.479996,132.691345,151101000,29
4/30/2021,131.779999,133.559998,131.070007,131.460007,130.683289,109839500,63
5/3/2021,132.039993,134.070007,131.830002,132.539993,131.756897,75135100,86
5/4/2021,131.190002,131.490005,126.699997,127.849998,127.094612,137564700,86
5/5/2021,129.199997,130.449997,127.970001,128.100006,127.343147,84000900,77
5/6/2021,127.889999,129.75,127.129997,129.740005,128.97345,78128300,88
5/7/2021,130.850006,131.259995,129.479996,130.210007,129.660538,78973300,40
5/10/2021,129.410004,129.539993,126.809998,126.849998,126.314713,88071200,81
5/11/2021,123.5,126.269997,122.769997,125.910004,125.378685,126142800,46
5/12/2021,123.400002,124.639999,122.25,122.769997,122.251923,112172300,94
5/13/2021,124.580002,126.150002,124.260002,124.970001,124.442642,105861300,48
5/14/2021,126.25,127.889999,125.849998,127.449997,126.912178,81918000,0
5/17/2021,126.82,126.93,125.169998,126.269997,125.73716,74244600,78
5/18/2021,126.559998,126.989998,124.779999,124.849998,124.323151,63342900,81
5/19/2021,123.160004,124.919998,122.860001,124.690002,124.163826,92612000,12
5/20/2021,125.230003,127.720001,125.099998,127.309998,126.772766,76857100,54
5/21/2021,127.82,128,125.209999,125.43,124.900703,79295400,41
5/24/2021,126.010002,127.940002,125.940002,127.099998,126.563652,63092900,8
5/25/2021,127.82,128.320007,126.32,126.900002,126.364494,72009500,30
5/26/2021,126.959999,127.389999,126.419998,126.849998,126.314713,56575900,65
5/27/2021,126.440002,127.639999,125.080002,125.279999,124.751343,94625600,29
5/28/2021,125.57,125.800003,124.550003,124.610001,124.08416,71311100,27
